ptime;time;windspeed [m/s];power [relative]
2019-12-21;2019-12-21 01:00:00;7.29;0.14
2019-12-21;2019-12-21 02:00:00;7.07;0.17
2019-12-21;2019-12-21 03:00:00;7.27;0.20
2019-12-21;2019-12-21 04:00:00;7.46;0.15
2019-12-21;2019-12-21 05:00:00;6.89;0.26
2019-12-21;2019-12-21 06:00:00;6.15;0.05
2019-12-21;2019-12-21 07:00:00;4.91;0.00
2019-12-21;2019-12-21 08:00:00;4.74;0.00
2019-12-21;2019-12-21 09:00:00;6.35;0.10
2019-12-21;2019-12-21 10:00:00;7.22;0.19
2019-12-21;2019-12-21 11:00:00;7.22;0.21
2019-12-21;2019-12-21 12:00:00;7.57;0.18
2019-12-21;2019-12-21 13:00:00;7.37;0.21
2019-12-21;2019-12-21 14:00:00;7.73;0.21
2019-12-21;2019-12-21 15:00:00;7.78;0.22
2019-12-21;2019-12-21 16:00:00;7.01;0.11
2019-12-21;2019-12-21 17:00:00;6.85;0.10
2019-12-21;2019-12-21 18:00:00;6.36;0.24
2019-12-21;2019-12-21 19:00:00;7.20;0.32
2019-12-21;2019-12-21 20:00:00;7.84;0.13
2019-12-21;2019-12-21 21:00:00;8.17;0.49
2019-12-21;2019-12-21 22:00:00;7.67;0.03
2019-12-21;2019-12-21 23:00:00;8.06;0.48
2019-12-21;2019-12-22 00:00:00;9.49;0.30
2019-12-22;2019-12-22 01:00:00;10.24;0.43
2019-12-22;2019-12-22 02:00:00;9.50;0.41
2019-12-22;2019-12-22 03:00:00;8.53;0.30
2019-12-22;2019-12-22 04:00:00;7.68;0.22
2019-12-22;2019-12-22 05:00:00;6.49;0.23
2019-12-22;2019-12-22 06:00:00;6.93;0.16
2019-12-22;2019-12-22 07:00:00;7.30;0.30
2019-12-22;2019-12-22 08:00:00;7.06;0.27
2019-12-22;2019-12-22 09:00:00;7.82;0.15
2019-12-22;2019-12-22 10:00:00;7.45;0.14
2019-12-22;2019-12-22 11:00:00;7.09;0.19
2019-12-22;2019-12-22 12:00:00;6.30;0.18
2019-12-22;2019-12-22 13:00:00;6.05;0.23
2019-12-22;2019-12-22 14:00:00;6.28;0.06
2019-12-22;2019-12-22 15:00:00;6.58;0.18
2019-12-22;2019-12-22 16:00:00;5.84;0.01
2019-12-22;2019-12-22 17:00:00;5.71;0.07
2019-12-22;2019-12-22 18:00:00;8.64;0.47
2019-12-22;2019-12-22 19:00:00;10.01;0.35
2019-12-22;2019-12-22 20:00:00;11.03;0.51
2019-12-22;2019-12-22 21:00:00;11.09;0.48
2019-12-22;2019-12-22 22:00:00;10.90;0.71
2019-12-22;2019-12-22 23:00:00;9.51;0.39
2019-12-22;2019-12-23 00:00:00;8.47;0.51
2019-12-23;2019-12-23 01:00:00;8.04;0.22
2019-12-23;2019-12-23 02:00:00;8.16;0.22
2019-12-23;2019-12-23 03:00:00;8.26;0.28
2019-12-23;2019-12-23 04:00:00;8.48;0.29
2019-12-23;2019-12-23 05:00:00;7.01;0.19
2019-12-23;2019-12-23 06:00:00;6.59;0.11
2019-12-23;2019-12-23 07:00:00;4.83;0.14
2019-12-23;2019-12-23 08:00:00;6.00;0.13
2019-12-23;2019-12-23 09:00:00;7.71;0.30
2019-12-23;2019-12-23 10:00:00;7.60;0.10
2019-12-23;2019-12-23 11:00:00;9.11;0.27
2019-12-23;2019-12-23 12:00:00;8.03;0.39
2019-12-23;2019-12-23 13:00:00;6.48;0.05
2019-12-23;2019-12-23 14:00:00;5.39;0.03
2019-12-23;2019-12-23 15:00:00;6.17;0.00
2019-12-23;2019-12-23 16:00:00;7.31;0.43
2019-12-23;2019-12-23 17:00:00;8.57;0.50
2019-12-23;2019-12-23 18:00:00;7.85;0.16
2019-12-23;2019-12-23 19:00:00;9.04;0.52
2019-12-23;2019-12-23 20:00:00;6.98;0.15
2019-12-23;2019-12-23 21:00:00;8.66;0.23
2019-12-23;2019-12-23 22:00:00;8.21;0.18
2019-12-23;2019-12-23 23:00:00;7.75;0.07
2019-12-23;2019-12-24 00:00:00;7.78;0.20
2019-12-24;2019-12-24 01:00:00;6.96;0.12
2019-12-24;2019-12-24 02:00:00;6.23;0.13
2019-12-24;2019-12-24 03:00:00;5.87;0.05
2019-12-24;2019-12-24 04:00:00;6.71;0.16
2019-12-24;2019-12-24 05:00:00;7.12;0.10
2019-12-24;2019-12-24 06:00:00;7.59;0.36
2019-12-24;2019-12-24 07:00:00;7.56;0.16
2019-12-24;2019-12-24 08:00:00;7.43;0.18
2019-12-24;2019-12-24 09:00:00;7.72;0.15
2019-12-24;2019-12-24 10:00:00;8.30;0.20
2019-12-24;2019-12-24 11:00:00;9.41;0.33
2019-12-24;2019-12-24 12:00:00;9.23;0.42
2019-12-24;2019-12-24 13:00:00;10.80;0.68
2019-12-24;2019-12-24 14:00:00;11.39;0.70
2019-12-24;2019-12-24 15:00:00;9.69;0.23
2019-12-24;2019-12-24 16:00:00;8.97;0.36
2019-12-24;2019-12-24 17:00:00;10.02;0.27
2019-12-24;2019-12-24 18:00:00;9.89;0.32
2019-12-24;2019-12-24 19:00:00;9.30;0.47
2019-12-24;2019-12-24 20:00:00;10.64;0.38
2019-12-24;2019-12-24 21:00:00;11.71;0.81
2019-12-24;2019-12-24 22:00:00;9.84;0.42
2019-12-24;2019-12-24 23:00:00;6.33;0.05
2019-12-24;2019-12-25 00:00:00;7.76;0.17
2019-12-25;2019-12-25 01:00:00;7.24;0.22
2019-12-25;2019-12-25 02:00:00;7.06;0.17
2019-12-25;2019-12-25 03:00:00;6.50;0.17
2019-12-25;2019-12-25 04:00:00;6.72;0.22
2019-12-25;2019-12-25 05:00:00;7.52;0.27
2019-12-25;2019-12-25 06:00:00;8.19;0.29
2019-12-25;2019-12-25 07:00:00;9.32;0.53
2019-12-25;2019-12-25 08:00:00;8.23;0.22
2019-12-25;2019-12-25 09:00:00;8.25;0.31
2019-12-25;2019-12-25 10:00:00;8.77;0.35
2019-12-25;2019-12-25 11:00:00;8.44;0.36
2019-12-25;2019-12-25 12:00:00;8.27;0.38
2019-12-25;2019-12-25 13:00:00;7.73;0.31
2019-12-25;2019-12-25 14:00:00;8.07;0.37
2019-12-25;2019-12-25 15:00:00;6.86;0.28
2019-12-25;2019-12-25 16:00:00;5.20;0.08
2019-12-25;2019-12-25 17:00:00;5.21;0.08
2019-12-25;2019-12-25 18:00:00;4.63;0.08
2019-12-25;2019-12-25 19:00:00;4.09;0.12
2019-12-25;2019-12-25 20:00:00;3.17;0.07
2019-12-25;2019-12-25 21:00:00;3.37;0.08
2019-12-25;2019-12-25 22:00:00;3.84;0.10
2019-12-25;2019-12-25 23:00:00;5.30;0.20
2019-12-25;2019-12-26 00:00:00;5.06;0.14
2019-12-26;2019-12-26 01:00:00;3.43;0.04
2019-12-26;2019-12-26 02:00:00;2.81;0.02
2019-12-26;2019-12-26 03:00:00;2.81;0.02
2019-12-26;2019-12-26 04:00:00;2.19;0.02
2019-12-26;2019-12-26 05:00:00;0.81;0.02
2019-12-26;2019-12-26 06:00:00;1.54;0.02
2019-12-26;2019-12-26 07:00:00;1.76;0.02
2019-12-26;2019-12-26 08:00:00;0.30;0.02
2019-12-26;2019-12-26 09:00:00;0.99;0.02
2019-12-26;2019-12-26 10:00:00;2.29;0.02
2019-12-26;2019-12-26 11:00:00;3.91;0.03
2019-12-26;2019-12-26 12:00:00;4.13;0.02
2019-12-26;2019-12-26 13:00:00;4.53;0.02
2019-12-26;2019-12-26 14:00:00;4.29;0.11
2019-12-26;2019-12-26 15:00:00;3.21;0.02
2019-12-26;2019-12-26 16:00:00;4.05;0.05
2019-12-26;2019-12-26 17:00:00;3.97;0.06
2019-12-26;2019-12-26 18:00:00;4.26;0.02
2019-12-26;2019-12-26 19:00:00;5.44;0.02
2019-12-26;2019-12-26 20:00:00;5.19;0.02
2019-12-26;2019-12-26 21:00:00;4.69;0.02
2019-12-26;2019-12-26 22:00:00;4.72;0.21
2019-12-26;2019-12-26 23:00:00;4.91;0.09
2019-12-26;2019-12-27 00:00:00;4.76;0.02
2019-12-27;2019-12-27 01:00:00;4.42;0.00
2019-12-27;2019-12-27 02:00:00;4.28;0.01
2019-12-27;2019-12-27 03:00:00;4.11;0.00
2019-12-27;2019-12-27 04:00:00;3.79;0.02
2019-12-27;2019-12-27 05:00:00;4.63;0.08
2019-12-27;2019-12-27 06:00:00;5.55;0.06
2019-12-27;2019-12-27 07:00:00;6.31;0.10
2019-12-27;2019-12-27 08:00:00;6.67;0.16
2019-12-27;2019-12-27 09:00:00;6.43;0.23
2019-12-27;2019-12-27 10:00:00;5.22;0.40
2019-12-27;2019-12-27 11:00:00;5.20;0.11
2019-12-27;2019-12-27 12:00:00;5.53;0.06
2019-12-27;2019-12-27 13:00:00;4.84;0.15
2019-12-27;2019-12-27 14:00:00;3.84;0.00
2019-12-27;2019-12-27 15:00:00;2.83;0.00
2019-12-27;2019-12-27 16:00:00;2.81;0.00
2019-12-27;2019-12-27 17:00:00;3.25;0.08
2019-12-27;2019-12-27 18:00:00;3.30;0.00
2019-12-27;2019-12-27 19:00:00;3.73;0.00
2019-12-27;2019-12-27 20:00:00;4.05;0.00
2019-12-27;2019-12-27 21:00:00;2.81;0.00
2019-12-27;2019-12-27 22:00:00;2.72;0.00
2019-12-27;2019-12-27 23:00:00;3.37;0.00
2019-12-27;2019-12-28 00:00:00;4.16;0.00
2019-12-28;2019-12-28 01:00:00;1.44;0.00
2019-12-28;2019-12-28 02:00:00;2.86;0.00
2019-12-28;2019-12-28 03:00:00;3.73;0.00
2019-12-28;2019-12-28 04:00:00;3.49;0.00
2019-12-28;2019-12-28 05:00:00;3.73;0.02
2019-12-28;2019-12-28 06:00:00;2.82;0.00
2019-12-28;2019-12-28 07:00:00;3.68;0.00
2019-12-28;2019-12-28 08:00:00;4.26;0.00
2019-12-28;2019-12-28 09:00:00;4.60;0.00
2019-12-28;2019-12-28 10:00:00;4.46;0.02
2019-12-28;2019-12-28 11:00:00;4.65;0.08
2019-12-28;2019-12-28 12:00:00;4.61;0.06
2019-12-28;2019-12-28 13:00:00;5.05;0.03
2019-12-28;2019-12-28 14:00:00;4.93;0.13
2019-12-28;2019-12-28 15:00:00;4.67;0.00
2019-12-28;2019-12-28 16:00:00;5.15;0.09
2019-12-28;2019-12-28 17:00:00;5.07;0.01
2019-12-28;2019-12-28 18:00:00;5.24;0.09
2019-12-28;2019-12-28 19:00:00;5.48;0.07
2019-12-28;2019-12-28 20:00:00;5.70;0.21
2019-12-28;2019-12-28 21:00:00;5.49;0.05
2019-12-28;2019-12-28 22:00:00;5.47;0.04
2019-12-28;2019-12-28 23:00:00;5.60;0.16
2019-12-28;2019-12-29 00:00:00;5.52;0.02
2019-12-29;2019-12-29 01:00:00;4.82;0.00
2019-12-29;2019-12-29 02:00:00;4.79;0.00
2019-12-29;2019-12-29 03:00:00;5.53;0.05
2019-12-29;2019-12-29 04:00:00;5.25;0.01
2019-12-29;2019-12-29 05:00:00;5.09;0.03
2019-12-29;2019-12-29 06:00:00;5.31;0.06
2019-12-29;2019-12-29 07:00:00;5.04;0.00
2019-12-29;2019-12-29 08:00:00;4.66;0.00
2019-12-29;2019-12-29 09:00:00;4.39;0.00
2019-12-29;2019-12-29 10:00:00;3.87;0.00
2019-12-29;2019-12-29 11:00:00;3.54;0.00
2019-12-29;2019-12-29 12:00:00;3.24;0.00
2019-12-29;2019-12-29 13:00:00;2.86;0.00
2019-12-29;2019-12-29 14:00:00;3.67;0.00
2019-12-29;2019-12-29 15:00:00;3.97;0.00
2019-12-29;2019-12-29 16:00:00;3.96;0.00
2019-12-29;2019-12-29 17:00:00;4.36;0.10
2019-12-29;2019-12-29 18:00:00;4.54;0.00
2019-12-29;2019-12-29 19:00:00;4.91;0.00
