ptime;time;windspeed [m/s];power [relative]
2019-11-01;2019-11-01 01:00:00;7.47;0.32
2019-11-01;2019-11-01 02:00:00;7.62;0.22
2019-11-01;2019-11-01 03:00:00;8.35;0.27
2019-11-01;2019-11-01 04:00:00;8.13;0.12
2019-11-01;2019-11-01 05:00:00;7.73;0.25
2019-11-01;2019-11-01 06:00:00;7.40;0.24
2019-11-01;2019-11-01 07:00:00;7.31;0.15
2019-11-01;2019-11-01 08:00:00;6.78;0.22
2019-11-01;2019-11-01 09:00:00;6.84;0.10
2019-11-01;2019-11-01 10:00:00;6.72;0.17
2019-11-01;2019-11-01 11:00:00;6.48;0.07
2019-11-01;2019-11-01 12:00:00;6.57;0.19
2019-11-01;2019-11-01 13:00:00;6.79;0.23
2019-11-01;2019-11-01 14:00:00;6.53;0.05
2019-11-01;2019-11-01 15:00:00;5.55;0.05
2019-11-01;2019-11-01 16:00:00;5.81;0.22
2019-11-01;2019-11-01 17:00:00;6.16;0.06
2019-11-01;2019-11-01 18:00:00;7.10;0.30
2019-11-01;2019-11-01 19:00:00;7.44;0.00
2019-11-01;2019-11-01 20:00:00;7.37;0.45
2019-11-01;2019-11-01 21:00:00;6.80;0.12
2019-11-01;2019-11-01 22:00:00;6.10;0.13
2019-11-01;2019-11-01 23:00:00;5.96;0.02
2019-11-01;2019-11-02 00:00:00;6.43;0.18
2019-11-02;2019-11-02 01:00:00;6.78;0.19
2019-11-02;2019-11-02 02:00:00;7.41;0.24
2019-11-02;2019-11-02 03:00:00;7.41;0.23
2019-11-02;2019-11-02 04:00:00;7.87;0.32
2019-11-02;2019-11-02 05:00:00;9.45;0.37
2019-11-02;2019-11-02 06:00:00;8.99;0.35
2019-11-02;2019-11-02 07:00:00;8.48;0.28
2019-11-02;2019-11-02 08:00:00;8.65;0.38
2019-11-02;2019-11-02 09:00:00;7.99;0.26
2019-11-02;2019-11-02 10:00:00;8.64;0.32
2019-11-02;2019-11-02 11:00:00;9.03;0.45
2019-11-02;2019-11-02 12:00:00;9.66;0.45
2019-11-02;2019-11-02 13:00:00;9.58;0.25
2019-11-02;2019-11-02 14:00:00;8.95;0.33
2019-11-02;2019-11-02 15:00:00;10.06;0.51
2019-11-02;2019-11-02 16:00:00;10.55;0.50
2019-11-02;2019-11-02 17:00:00;8.38;0.26
2019-11-02;2019-11-02 18:00:00;6.82;0.15
2019-11-02;2019-11-02 19:00:00;10.02;0.40
2019-11-02;2019-11-02 20:00:00;8.84;0.14
2019-11-02;2019-11-02 21:00:00;9.30;0.45
2019-11-02;2019-11-02 22:00:00;7.64;0.16
2019-11-02;2019-11-02 23:00:00;7.67;0.02
2019-11-02;2019-11-03 00:00:00;8.70;0.29
2019-11-03;2019-11-03 01:00:00;8.65;0.34
2019-11-03;2019-11-03 02:00:00;8.27;0.34
2019-11-03;2019-11-03 03:00:00;7.27;0.30
2019-11-03;2019-11-03 04:00:00;7.10;0.14
2019-11-03;2019-11-03 05:00:00;8.80;0.33
2019-11-03;2019-11-03 06:00:00;8.73;0.31
2019-11-03;2019-11-03 07:00:00;7.94;0.16
2019-11-03;2019-11-03 08:00:00;7.24;0.24
2019-11-03;2019-11-03 09:00:00;7.21;0.08
2019-11-03;2019-11-03 10:00:00;6.35;0.10
2019-11-03;2019-11-03 11:00:00;6.50;0.25
2019-11-03;2019-11-03 12:00:00;6.65;0.12
2019-11-03;2019-11-03 13:00:00;6.21;0.07
2019-11-03;2019-11-03 14:00:00;7.05;0.18
2019-11-03;2019-11-03 15:00:00;7.28;0.18
2019-11-03;2019-11-03 16:00:00;7.13;0.10
2019-11-03;2019-11-03 17:00:00;7.48;0.19
2019-11-03;2019-11-03 18:00:00;7.05;0.18
2019-11-03;2019-11-03 19:00:00;7.26;0.25
2019-11-03;2019-11-03 20:00:00;6.51;0.28
2019-11-03;2019-11-03 21:00:00;6.24;0.10
2019-11-03;2019-11-03 22:00:00;5.95;0.04
2019-11-03;2019-11-03 23:00:00;5.89;0.06
2019-11-03;2019-11-04 00:00:00;6.22;0.19
2019-11-04;2019-11-04 01:00:00;8.66;0.37
2019-11-04;2019-11-04 02:00:00;6.63;0.29
2019-11-04;2019-11-04 03:00:00;6.73;0.32
2019-11-04;2019-11-04 04:00:00;6.27;0.16
2019-11-04;2019-11-04 05:00:00;5.90;0.15
2019-11-04;2019-11-04 06:00:00;6.07;0.12
2019-11-04;2019-11-04 07:00:00;7.93;0.31
2019-11-04;2019-11-04 08:00:00;8.36;0.41
2019-11-04;2019-11-04 09:00:00;6.80;0.26
2019-11-04;2019-11-04 10:00:00;6.17;0.20
2019-11-04;2019-11-04 11:00:00;4.65;0.23
2019-11-04;2019-11-04 12:00:00;4.87;0.20
2019-11-04;2019-11-04 13:00:00;3.47;0.07
2019-11-04;2019-11-04 14:00:00;2.69;0.13
2019-11-04;2019-11-04 15:00:00;5.03;0.11
2019-11-04;2019-11-04 16:00:00;6.24;0.14
2019-11-04;2019-11-04 17:00:00;4.35;0.09
2019-11-04;2019-11-04 18:00:00;4.92;0.32
2019-11-04;2019-11-04 19:00:00;4.17;0.24
2019-11-04;2019-11-04 20:00:00;5.53;0.28
2019-11-04;2019-11-04 21:00:00;8.26;0.20
2019-11-04;2019-11-04 22:00:00;8.81;0.62
2019-11-04;2019-11-04 23:00:00;6.95;0.26
2019-11-04;2019-11-05 00:00:00;5.90;0.13
2019-11-05;2019-11-05 01:00:00;7.17;0.17
2019-11-05;2019-11-05 02:00:00;3.51;0.02
2019-11-05;2019-11-05 03:00:00;8.76;0.32
2019-11-05;2019-11-05 04:00:00;7.02;0.21
2019-11-05;2019-11-05 05:00:00;7.62;0.21
2019-11-05;2019-11-05 06:00:00;6.99;0.17
2019-11-05;2019-11-05 07:00:00;6.33;0.09
2019-11-05;2019-11-05 08:00:00;6.20;0.09
2019-11-05;2019-11-05 09:00:00;5.04;0.09
2019-11-05;2019-11-05 10:00:00;3.75;0.04
2019-11-05;2019-11-05 11:00:00;3.94;0.04
2019-11-05;2019-11-05 12:00:00;4.14;0.01
2019-11-05;2019-11-05 13:00:00;4.06;0.01
2019-11-05;2019-11-05 14:00:00;3.80;0.01
2019-11-05;2019-11-05 15:00:00;3.27;0.01
2019-11-05;2019-11-05 16:00:00;3.53;0.01
2019-11-05;2019-11-05 17:00:00;3.08;0.01
2019-11-05;2019-11-05 18:00:00;1.43;0.00
2019-11-05;2019-11-05 19:00:00;1.26;0.00
2019-11-05;2019-11-05 20:00:00;1.11;0.00
2019-11-05;2019-11-05 21:00:00;1.69;0.00
2019-11-05;2019-11-05 22:00:00;2.35;0.01
2019-11-05;2019-11-05 23:00:00;2.41;0.02
2019-11-05;2019-11-06 00:00:00;2.41;0.00
2019-11-06;2019-11-06 01:00:00;3.41;0.01
2019-11-06;2019-11-06 02:00:00;3.93;0.00
2019-11-06;2019-11-06 03:00:00;4.35;0.01
2019-11-06;2019-11-06 04:00:00;4.65;0.03
2019-11-06;2019-11-06 05:00:00;4.94;0.01
2019-11-06;2019-11-06 06:00:00;5.13;0.05
2019-11-06;2019-11-06 07:00:00;5.36;0.04
2019-11-06;2019-11-06 08:00:00;5.80;0.04
2019-11-06;2019-11-06 09:00:00;5.46;0.06
2019-11-06;2019-11-06 10:00:00;5.10;0.02
2019-11-06;2019-11-06 11:00:00;4.42;0.02
2019-11-06;2019-11-06 12:00:00;4.43;0.01
2019-11-06;2019-11-06 13:00:00;4.35;0.09
2019-11-06;2019-11-06 14:00:00;4.31;0.00
2019-11-06;2019-11-06 15:00:00;4.18;0.09
2019-11-06;2019-11-06 16:00:00;3.80;0.00
2019-11-06;2019-11-06 17:00:00;2.57;0.00
2019-11-06;2019-11-06 18:00:00;2.45;0.00
2019-11-06;2019-11-06 19:00:00;1.70;0.00
2019-11-06;2019-11-06 20:00:00;1.55;0.00
2019-11-06;2019-11-06 21:00:00;1.98;0.00
2019-11-06;2019-11-06 22:00:00;2.36;0.00
2019-11-06;2019-11-06 23:00:00;2.81;0.01
2019-11-06;2019-11-07 00:00:00;3.23;0.09
2019-11-07;2019-11-07 01:00:00;3.16;0.00
2019-11-07;2019-11-07 02:00:00;2.67;0.00
2019-11-07;2019-11-07 03:00:00;3.41;0.00
2019-11-07;2019-11-07 04:00:00;4.53;0.00
2019-11-07;2019-11-07 05:00:00;5.55;0.00
2019-11-07;2019-11-07 06:00:00;6.04;0.04
2019-11-07;2019-11-07 07:00:00;6.78;0.20
2019-11-07;2019-11-07 08:00:00;7.30;0.19
2019-11-07;2019-11-07 09:00:00;7.33;0.16
2019-11-07;2019-11-07 10:00:00;8.61;0.20
2019-11-07;2019-11-07 11:00:00;8.81;0.21
2019-11-07;2019-11-07 12:00:00;9.48;0.23
2019-11-07;2019-11-07 13:00:00;9.99;0.43
2019-11-07;2019-11-07 14:00:00;9.92;0.34
2019-11-07;2019-11-07 15:00:00;8.55;0.45
2019-11-07;2019-11-07 16:00:00;9.07;0.13
2019-11-07;2019-11-07 17:00:00;7.81;0.00
2019-11-07;2019-11-07 18:00:00;9.47;0.37
2019-11-07;2019-11-07 19:00:00;7.96;0.21
2019-11-07;2019-11-07 20:00:00;6.81;0.11
2019-11-07;2019-11-07 21:00:00;6.46;0.26
2019-11-07;2019-11-07 22:00:00;6.29;0.03
2019-11-07;2019-11-07 23:00:00;6.13;0.02
2019-11-07;2019-11-08 00:00:00;5.46;0.06
2019-11-08;2019-11-08 01:00:00;3.52;0.02
2019-11-08;2019-11-08 02:00:00;3.55;0.02
2019-11-08;2019-11-08 03:00:00;4.02;0.01
2019-11-08;2019-11-08 04:00:00;4.69;0.13
2019-11-08;2019-11-08 05:00:00;4.52;0.02
2019-11-08;2019-11-08 06:00:00;4.28;0.05
2019-11-08;2019-11-08 07:00:00;3.46;0.01
2019-11-08;2019-11-08 08:00:00;2.66;0.01
2019-11-08;2019-11-08 09:00:00;2.33;0.01
2019-11-08;2019-11-08 10:00:00;1.82;0.01
2019-11-08;2019-11-08 11:00:00;0.97;0.01
2019-11-08;2019-11-08 12:00:00;1.11;0.01
2019-11-08;2019-11-08 13:00:00;1.72;0.01
2019-11-08;2019-11-08 14:00:00;2.28;0.01
2019-11-08;2019-11-08 15:00:00;3.41;0.03
2019-11-08;2019-11-08 16:00:00;4.71;0.10
2019-11-08;2019-11-08 17:00:00;4.72;0.01
2019-11-08;2019-11-08 18:00:00;4.61;0.04
2019-11-08;2019-11-08 19:00:00;4.42;0.17
2019-11-08;2019-11-08 20:00:00;4.93;0.04
2019-11-08;2019-11-08 21:00:00;4.74;0.01
2019-11-08;2019-11-08 22:00:00;4.73;0.10
2019-11-08;2019-11-08 23:00:00;3.62;0.02
2019-11-08;2019-11-09 00:00:00;3.10;0.01
2019-11-09;2019-11-09 01:00:00;1.99;0.01
2019-11-09;2019-11-09 02:00:00;2.90;0.01
2019-11-09;2019-11-09 03:00:00;3.30;0.01
2019-11-09;2019-11-09 04:00:00;3.31;0.01
2019-11-09;2019-11-09 05:00:00;2.40;0.00
2019-11-09;2019-11-09 06:00:00;2.66;0.03
2019-11-09;2019-11-09 07:00:00;4.05;0.07
2019-11-09;2019-11-09 08:00:00;3.46;0.01
2019-11-09;2019-11-09 09:00:00;3.63;0.02
2019-11-09;2019-11-09 10:00:00;3.77;0.05
2019-11-09;2019-11-09 11:00:00;4.39;0.01
2019-11-09;2019-11-09 12:00:00;5.23;0.01
2019-11-09;2019-11-09 13:00:00;4.90;0.22
2019-11-09;2019-11-09 14:00:00;4.43;0.04
2019-11-09;2019-11-09 15:00:00;4.02;0.04
